City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,bengkulu,-3.8,102.27,79.29,87,100,8.1,ID,1595255943
244,goure,13.98,10.27,97.52,29,52,7.11,NE,1595255944
245,samarai,-10.62,150.67,76.39,84,94,16.24,PG,1595255944
246,casimiro de abreu,-22.48,-42.2,78.8,61,1,21.92,BR,1595255944
247,belmonte,-15.86,-38.88,73.4,88,75,4.7,BR,1595255944
248,tual,-5.67,132.75,79.16,84,58,20.09,ID,1595255944
249,mombetsu,44.35,143.35,64.99,83,100,1.01,JP,1595255944
251,lincoln,40.8,-96.67,70.0,94,100,5.01,US,1595255705
252,necochea,-38.55,-58.74,52.0,99,100,15.01,AR,1595255929
253,ojinaga,29.57,-104.42,84.2,39,40,8.05,MX,1595255945
254,dalbandin,28.89,64.41,95.29,9,8,10.38,PK,1595255945
255,klaksvik,62.23,-6.59,51.8,87,89,8.05,FO,1595255853
256,estelle,29.85,-90.11,88.0,89,75,10.29,US,1595255945
258,bubaque,11.28,-15.83,80.01,83,94,20.94,GW,1595255945
259,escanaba,45.75,-87.06,62.01,72,90,11.41,US,1595255945
260,georgetown,-7.93,-14.42,76.77,76,2,15.05,SH,1595255946
261,pisco,-13.7,-76.22,60.8,87,90,1.12,PE,1595255946
262,gradignan,44.77,-0.61,93.2,28,0,3.36,FR,1595255946
264,banepa,27.63,85.52,69.8,100,40,1.66,NP,1595255667
265,nasice,45.49,18.09,84.99,53,7,3.74,HR,1595255946
266,flin flon,54.77,-101.86,66.2,63,75,4.7,CA,1595255925
267,ahipara,-35.17,173.17,56.48,93,51,4.79,NZ,1595255947
268,isla mujeres,21.23,-86.73,86.0,74,40,4.7,MX,1595255689
269,french harbor,16.35,-86.43,86.0,74,20,11.41,HN,1595255947
270,rock springs,41.59,-109.2,62.6,27,1,3.36,US,1595255766
271,katsuura,35.13,140.3,75.99,94,75,10.29,JP,1595255947
272,dunedin,-45.87,170.5,46.99,82,100,5.01,NZ,1595255947
273,cherskiy,68.75,161.3,57.11,62,64,1.88,RU,1595255947
274,selma,36.57,-119.61,73.4,68,1,4.14,US,1595255948
275,chapais,49.78,-74.85,57.2,87,90,12.75,CA,1595255948
277,pangnirtung,66.15,-65.71,46.4,93,75,10.29,CA,1595255948
279,gao,16.64,1.64,101.86,22,99,1.61,ML,1595255948
280,batagay,67.63,134.63,63.84,83,6,2.04,RU,1595255948
281,chuy,-33.7,-53.46,71.24,74,85,8.93,UY,1595255948
282,carpenedolo,45.36,10.43,90.0,38,0,6.93,IT,1595255949
284,kantunilkin,21.09,-87.45,86.0,74,40,4.7,MX,1595255949
285,palmer,42.16,-72.33,82.99,78,40,4.7,US,1595255949
286,le vauclin,14.55,-60.84,89.6,62,40,12.75,MQ,1595255949
288,guerrero negro,27.98,-114.06,72.84,67,0,3.02,MX,1595255950
289,mount isa,-20.73,139.5,64.4,18,87,11.41,AU,1595255950
290,spencer,43.14,-95.14,71.6,73,90,3.96,US,1595255780
291,egvekinot,66.32,-179.17,40.51,84,27,6.91,RU,1595255950
292,donghai,22.95,115.64,82.38,77,100,2.84,CN,1595255950
293,leningradskiy,69.38,178.42,37.81,88,12,6.64,RU,1595255950
294,paka,4.64,103.44,80.6,94,21,3.04,MY,1595255951
295,kahului,20.89,-156.47,78.8,65,40,14.99,US,1595255951
296,gewane,10.17,40.65,94.57,28,20,7.67,ET,1595255951
